tweet,sarcastic
Surely I’m not the only one who was disappointed by that ending... #Bodyguard,0
Billy Gunn sorta relevant for the first time in years...,1
oh my god i have the Hawai'i twitter baddie in my class this semester i will try not to fangirl!!,0
"It’s spring, so that means it’s time for couples to leave the bar across the street and come fight under my window at 2 am again ❤️",1
did you actually fly on a plane if you didn’t post a picture of the view from your window?,1
day 5 of people being mad about ellen sitting by gw bush is when we'll finally get to the bottom of this,1
"@SkoochLoL I thought I was the only one with this issue
They declined me when I tried to sign up to take the GRE, but haven't declined me when I drove across the country twice this summer",0
"My top 3 movies off the last decade in no particular order... Hereditary, It Follows and What We Do in the Shadows. Yes.",0
"Being a mom with an autoimmune disease means I am a grown ass woman that caught hand, foot, and mouth from my daughter. My Hashimotos sucks. Thanks for all the sicknesses I so graciously suffer and should not be suffering at 40.",1
omg my ankle popped for the first time since i fell. it's a miracle 😩,0
"Teenage daughters and I learned how to play ""Cataan"" tonight.  So much fun!  @AnneWheaton, thanks to Wil and @tabletop, it was very easy to learn!  We look forward to playing again!",0
"will never understand why ppl do meth,, just buy a shit tonne of incense in bulk stupid",1
Is there a zombie apocalypse going on upper street,1
no more instagram. we must all return to scrapbooks.,1
"I tried to use GIMP but I hate it and it doesn’t work with my iCloud Drive. I’m thinking of just caving &amp; purchasing the Photoshop cc sub 😩

I think I can get away with just buying a photoshop subscription, I don’t mind Inkscape &amp; Shotcut.",0
Everytime I exit and reopen the Instagram app it freezes,0
Seeing John Mulaney perform tonight might honestly be one of my favorite experiences I’ve ever had,0
"hello to all three of my followers, this is my big return to twitter",1
"Life is so beautiful when you stop taking it so seriously. 

Like chill dude. You’re doing just fine.",0
Bit confused by this celebrity #thechase episode. There’s a longer desk to allow for social distancing and there appears to be no audience for obvious reasons but Bradley is still shaking hands with the contestants?,0
@BarbosaBox The best thing is Greg Paul’s face in the back,0
Yall ever put a splash of pickle brine in your spaghetti? Its actually not bad .@ClaussenPickles #Food,0
"am i the only one who gets ""tomorrow"" confused with ""tomato""",0
@ChasetownFC1954 Evesham and Bedworth were presumably ticket priority games for Cup matches. I remember leaving the one in December after half an hour because I had to be somewhere else,0
FULL TIME Linfield win 3-2. Linfield's second half substitutions and Manzinga's quality gave them the edge in a pulsating encounter at Shamrock Park.,0
How soon is too soon to quit your first job? 🤔 #adultquestions,0
it’s so rude that i’m not at the beach right now,1
I’m still confused about DaBaby’s point? Like would you have said “everybody without cancer out your lighters up”??? like what sir https://t.co/EqcbAEkIJM,1
Mom put powdered carpet cleaner all over the floor and now it legit smells like we are living in a stable,0
"5:30 banshee-like kitten zoomies are definitely my all-time favorite alarm clock, and the sound of jewelry boxes flipping over and burnouts on the wood floor make for the calmest, most enjoyable start to any workday.",1
"If you watch #TheCrown and don’t  simultaneously wiki deep-dive on the royal family, did you even watch The Crown?",1
Someone stole the 13.1 magnet off my car! #asshole #really?,0
"going from a toxic, abusive relationship to a healthy n loving one is so crazy. im finally happy :’))",0
You know the wolves match is boring when you're talking with your mate about the best way to wire up his new shed!,1
"I love it when drunk, inconsiderate flatmates come back and start climbing on the roof #istillhaveexams #tryingtosleep",1
thats it im packing my things and moving to italy see u all in a month xo,1
James Harden is allowed to travel every time he drives apparently,1
"The Drew Barrymore Show is an absolute trainwreck. Like The Tony Danza Show, every two minutes is a clip for The Soup.",1
“there is no greater joy than to have an endlessly changing horizon”,0
it's too bad i forgot how to play my clarinet so close to my recital,1
thinking of getting a tattoo that says “enough” both affirming that I am enough while also suggesting I’ve had enough,0
The French anthem is a banger. Love this gorgeous orchestration! #Olympics,0
Putting the toilet paper roll on so that it hangs under instead of over is a crime worthy of the death penalty,1
"July 1st. Half way point of the year. Well I think we can all agree that 2020 has gone swimmingly so far. 
Can’t wait for part 2. 
#murderhornets",1
remember when everyone’s feeds were just retweeted giveaways looool those were the days,1
What kind of sins have y’all been committing for God to punish us with this kinda weather...,1
"There's a gigantic, newly opened, posh box of chocolates in the kitchen at work marked 'for everyone' and now I'm wondering which one of my colleagues got dumped on Valentine's Day",0
"My (extended) fam was discussing going on a trip instead of getting presents for Christmas, like okay I’m bout it...
Yeah they were talking about doing to the dells. I’ll take my god damn presents thank you very much",1
Who's the bastard that got my cat to develop the kink of liking his ass slapped? Lord knows it wasn't me and I'm scared.,0
Does anyone have any late Edinburgh Fringe recommendations? Anytime from the 19th,0
"This has NOTHING to do with what happened. What she was doing 6 months before - good, bad, medium - makes no difference to what happened on that day. https://t.co/0zGa3R9d1v",0
I would do so much for people that would do absolutely nothing for me lol at least i know who my true friends are😀,1
"Just got in, how’d Liverpool get on?",1
"Broadband back, starting to feel a bit more normal.",0
please i just want a gp that can prescribe me my bridging hormones,0
who saw new Alan Partridge and VEEP last night? Double dunter of genius comedy! :D,0
I can't believe today is the last day we can be gay.,1
"@chrisrickett I suppose it won't harm his book sales either. It would be said in conversation with Madeley, perhaps it was a Freudian slip.",0
My favorite part about running on the track is seeing how high my heart rate gets just walking up the stairs to it.,1
"Thanks to India for being so inept. I was hoping for a full day of cricket, got snacks and everything. Cheers. You could have at least tried. #bbccricket #INDvENG #ENGvsIND #Cricket",1
I deeply regret downloading tiktok.....yet not at the same time,0
"@bobingtonus @anon_opin Hip flask ☑️
Dark rum ☑️
Peppermint cordial ❎
Will be going to get some later though. Inspired - nice one!",0
"Horse dancing is my new favorite Olympic sport, I have no clue what’s happening, but this is incredible",1
me not turning up to work is a feminist movement actually,1
what i love about mine and summers work schedules is that she will finish at 8pm and then i’ll start work at 9pm and then when i get home at 7am she’ll start work at 8am ❤️,1
what ever happened to the lizzie mcguire reboot,0
Just saw a cop riding a segway?!! So glad my taxes paid for that.,1
who needs an alarm when u can have the low rumbling voice of a stranger to wake u up in the morning 🥰,1
