tweet,sarcastic
my boss just put me on payroll????? *pauses unpaid intern by mr. burnham*,0
Andy Dalton is so atrocious,0
"It's been so lovely to see the world in blue and green and gold again this afternoon after a week or more of endless grey. Sunshine, I have missed you.",0
Delaying June 21st is entirely Boris Johnson’s fault for not responding to the Indian variant quickly and keeping the boarders open and we mustn’t forget that. This was entirely preventable.,0
the way uni won’t give me extra time on assessments despite them replacing exams (which i get time for) because of covid 🤩🤩🥰😍,0
this time tomorrow i ' ll be dying at school Cannot Wait!,1
people who advocate for an edit button haven’t really thought about how disastrous that would be,0
JUSTICE hour angle BEEN DONE.,1
excited to start my new hobby of standing in the lgbtq section of the feminist bookstore and look hot and mysterious until I get noticed,0
HELMET CAM 😍😍😍😍#BelgianGP #SkyF1,0
"apparently it ' s the biggest ask on the planet to find decently priced sandals with an enclosed toe. PLEASE, INTERNET. I just want to receive vaguely summery shoes that don ' t involve me having my toes out to the world at all times lmfaoo",1
"Just witnessed [in person] a beautiful murmuration. Stunning.

❤",0
Ah gotta love that Friday morning burnt knocked out feeling 🌄,1
Between Mikey cooking and Didi preparation for me I relaxing 😎 cooking? ? I don ’ t know her,1
"My PS4 Pro has P. T on it, which is somewhat funny as it was taken down before the PS4 Pro was even released # konami # PT # SilentHills # Spooky # PlayableTeaser # Kojima",1
"Excited to share the latest addition to my #etsy shop: Stuffed lion - lion cushion - Stuffed animals, baby toys lion, plush lion, lion pillow, kids toys lion, baby nursery lion, baby gift https://t.co/Dz1w7AsXpN #birthday #beige #bedroom #cotton #polyester #yes #throwp https://t.co/T6ucScqEWv",0
Day five and we just spent £10 on egg fried rice,0
Update: holding hand with your mom and walking around campus also shows you ' re prepared for the independence college offers,1
Hahaha these lads have never heard gucci mane or migos in their lives 🤣 #UniversityChallenge,0
I work in DC. I live 15 minutes from the Capitol Building. I walk my dog down the National Mall at least once a week. I left work early today from the riots. This is horrific. This is scary. This is terrorism. #DCProtests,0
"https://t.co/RahMICqi7v loving this track by the late @Viola_Beach , vibes of Foals and Friendly Fires. Chorus brings so many feels, RIP X",0
Remember the hundred emails from companies when Covid started getting real? I ’ ve gotten three in regards to support for protests. And only @ SavageXFenty shared helpful links and actually say black lives matter. .. we love capitalism 🥰 🙌 🏼,1
"@Janet67866039 @ermbop Its literally very common. My friends son was concieved while she was in the pill. You do know it's only 91% effective right? That means for 9% of women, that form of birth control fails.",0
Philip Rivers would be extremely entertaining as an announcer,0
"My children are 18, 9, and 7.  They have never known their nation at peace #ww111",0
"It's over
The journey is finally over
Just beat FFXIII and thus have completed every main series base Final Fantasy, with the vast majority being done since Jan of this year (all but 1 and 15)

Hot Take: XIII is a very good game and y'all complain too much about the linearity.",0
"Use an educator discount, I receive 20% off Manga at B & amp; N. This is the only reason One am a teacher.",1
It ’ s funny that you guys thought sports mattered during a pandemic. 1 simply can not imagine care about a winning streak rn.,1
Falling asleep at your laptop computer is always fun,1
"@ OldUnclePunch Yes, because we really have that form of power. Why do brexity types always sound like they are all paranoid conspiracy therorists?",1
"@MarkHendyHR Well done Mark, you’re smashing it!",0
"Update: almost 10 hours since the first modern vaccine.

Arm stiffness and pain has definitely worsened. I can’t hold my arm over my head and it hurts to lift my arm up to eat or do anything. Can’t move myself on the bed or do things with my left arm. 😬",0
"women say they want a man who has his life together. so how come whenever i show one the seven days’ worth of microwaved broccoli, carrot circles and chicken breast i keep in a tupperware in my fridge at all times, they are instantly rendered catatonic with clinical depression",0
Precisely getting some WD40 on my letter box to help the poor postman with his delivery today # valentinesday2021 # WD40,1
The Wanted Making a comeback has officially made this the best day ever,0
"Me: on a scale of one to ten how cute are the babies you see in clinic?

Rob: that chunky baby the other day was a ten. The one I saw today was a three--so pale. To be fair she's in the hospital and very sick.",0
Original pandemic baby bc I got swine flu xx,0
If I were the Red Sox I would simply play the Old world oriole more,1
Can't put into words how buzzing I am that #LineOfDuty is back,0
I refused free donuts and cocoa at work this morning and have been thinking about it ever since,0
Precisely disposed of a numb opossum. Good morning!,1
Can ' t wait until I live to be 110 year old and I have people asking me how One ' ve lived for such a long time so that I can make up some hyper - specific secret to longevity that people will inevitably follow,1
can we have a bit of a strong cold breeze please,0
".@EmmaRaducanu will be claimed by the Brits, Canadians, Romanians and Chinese. What a future she has ahead of her. A star for life.",0
Agreeing with the right field to plunge on the centre is the real dialectical materialism,1
Imagine non liking football game 🤣,1
Ace may look happy on the outside bit on the inside I ' m break down # painful # sad,1
what a great day to be cleave inside 🙃,1
Just a casual day at Oklahoma state university https://t.co/osW8tNACO9,0
Throwback to when I answered the phone at work with “ thank you for calling Courtney! My name is principal ” wow I have sex myself,1
tex - mex eating place that stop serving breakfast tacos after tenner: 30 / 11 am are the reason i have trust issues,1
when i was younger i was restricted to one hour a day on the computer.....how did i survive,0
Anyone need a soundbox for a human sacrifice? Trying to find a valid excuse to not go to do work today.,1
"Every once in a while, I still forget that Tatiana Maslany isn't multiple people. #OrphanBlack",0
"@SeanPenn hate club, i’m president",0
I love online shopping because if I am physically in a store and an employee even looks at me I bequeath immediately leave.,1
you ever completely embarrass yourself on zoom and adjudicate to spend out of college?,1
Drum and bass is dangerous stuff father ' t you know. . # FabricReview 🙏 🏻 🙏 🏻 🙏 🏻,1
"At least half of my days are still bad days and let me tell you, i ' ve never once killed 8 people because of it. A true miracle apparently",1
There’s nothing more empowering than a new phone case,0
"I’ve grown a lot . When people say slick shit , I just laugh nowadays🤣🤷🏾‍♀️ If you ain’t coming to me w no REAL money .. DO NOT HIT MY PHONE 😊💪🏾",0
The tiktok fyp knows me better than I know myself,0
Nothing but respect to the people in my neighborhood who are already putting out their Halloween 🎃 decorations,0
Just read Annie on My Mind for the first time…🥺,0
My investments investing in me! Sit back and watch it come to you..,0
"My brain: ok you have 3 things to do 

My anxiety: ok you have 30 things to do",0
"Leave it to the decent people of Hutch to yell at maine to "" eat shit "" while I run. Jokes on them, I do.",1
It's only now that I'm seriously trying to save that I'm regretting treating myself to something new almost every week last year for just surviving my first few terms of teaching 💸💸💸,0
My fiance got me a beautiful dancer ring made by the talented @casting_adlo I love it so much and gives me an excuse to talk about critically acclaimed MMORPG FFXIV ✨ https://t.co/CAWXNt2Vcp,0
I wanna hurry up and get my 2nd dose of the vaccine😖😖 2 more weeks😢,0
Vaccinated this morning. Non sure it ' s worked - still committed to Apple and no extra autism observe. Bloody science.,1
Oh my god this is so satisfying to watch. Look at his scared little face ahahahaha https://t.co/3cnHEvm2nS,0
also if u met dream on hypixel. . congrats! im not jealous at all haha im totally normal haha Good For You. . haha,1
What a panel! There's still time to sign up if your interested in all things user experience and people-focused design. https://t.co/rJNmGCWUBY,0
"@JohnRMoffitt @JMPeck69 @txswede2010 ""We are all connected""",0
love catch assignments at 6: 25pm on a Friday!!,1
@ igreen95 thx for the play by romp,1
"please,,, for the love of god STAY HOME SO WE CAN HAVE HALLOWEEN",0
yo who wants to link up when I’m in London?!,0
Update: they ’ ve finally closed the campus which means I wasted my day going in and waiting on lectures 🙃 https: / / t. co / kBTOqNpX3Z,1
@ terryflewers @ lfcsonny Has he impart any clarification regarding what age Harvey Elliott needs to be before you can tackle him?,1
"got a google calendar notif, my boyfriend put ""think about dwarves"" in as an all day event",0
Did you know? Abuse and alcoholism and depression will just ✨ disappear ✨ if the state is opened completely during a pandemic? # trumpisanidiot # bidenharris2020,1
Pub crawl pub crawl pub crawl pub crawl pub crawl. There are pubs and I am crawling too them,0
"head is pounding, spent £ xxv on ubers last night and I have a 3000 word report to write:) yippee cristal",1
The villains in super hero films embody awfully polite. They always confine their invasions to being above one particular city,1
Am I the only person that was triggered watching a comedy about a 21 year-old forced into marriage shown through the male gaze? How much longer are we going to normalize this? #30weds21,0
"I think the most beautiful thing on tiktok I’ve seen is gen z coming together and literally creating a musical for Ratatouille, literally from set design to music and even choreography like what in the world 💀",0
"I’ve said it before and I’ll say it again, go stream inbirdsong because it’s the best song ever made.",0
@ igreen95 thx for the play by play,1
"Of course the Orioles would end their losing streak on a night where they face the odds on MVP/Cy Young favorite.

Hitting 3 homers off him.

Having him strike out 3 times, and not hit a ball out of the infield. 

And come back from a 6-2 deficit. 

Of course.",0
Entered a scramble yesterday at the orchards and won double the money I paid.. Free cash.,0
life was good when i had pfizer boobs,0
The typhoon flew over maine today absolutely fume they forgot to bomb me,1
When I originate improving I wanna be a sociopath,1
"Started watching house of cards, quaternity episodes in. Already I can see it was a honest choice 😄",1
Fun fact: Nelson Mandela once played John Wilkes Booth in a prison theatre production #themoreyouknow,0
"how am i doing? well if you must know, i’m watching all the vids of harry singing fine line at his vegas concert and crying bc i can’t see him at american airlines.",0
@ MollyJongFast I think it should be allowed for customer service workers to squirt water into their face like how they do sometimes to train pets,1
@joanne1894 @chillimac63 You can choose not to play a player. That’s no different in any squad anywhere in the world.,0
another day of a mediocre white man getting a job he truly does not deserve,0
Sometimes I wonder if Priti Patel and Boris President andrew johnson think that the Prime Minister is the single with the best K / D ratio. It would make sense with the whole ' let the bodies pile high ' thing.,1
Beautiful animation and hype song what more could be asked for https://t.co/PFLLswgkh3,0
Best performance in a while. Absolute cracker today. Think @benbreo deserved mom #NFFC,0
"Random third grader pointed at me with her whole class lined up, “look, that’s the tallest girl in the world!”",0
"sorry folks,,, but new t swift album bangs",0
i will fully support whoever the democratic nominee is. however. the “bernie bro’s” are some of the most stubborn democrats/progressives out there. seriously just get over yourself. stop bashing candidates who aren’t even in the race anymore.,0
imagine being able to sleep haha sack ’ t relate,1
"this narrative of ""protection"" that women require is infantilising and off-base. it implies requiring smothering as opposed to freedom to occupy spaces, yknow, as people.",0
I love the weekend of the 4th bc its the only time I can jam out to my fave song God Bless the USA w/o being judged 🇺🇸,0
"I asked my husband to buy dog poo bags when he survive out earlier and they ' d sold out. So instead of going to another shop, he bought bin bags. So now I still can ' t clean up after the dog but if I happen to buy a donkey and need to clean up after that, I ' m sorted.",1
@ brruhia Nah bruh you just drinking it upside down 😂,1
Matt Hancock be a top shagger,1
"Very moved by the accounts coming from Afghanistan right now.

We can debate the merits/pitfalls of Western intervention endlessly but relinquishing control to the Taliban is unquestionably the worst thing for the country now.",0
Absolutely disgusting. Tr*mp says he “loves” domestic terrorists and spends most of the minute long video complaining about election and not condemning their actions today? Rot in fucking hell.,0
every particular date I go on I get a little scared will be phone swop,1
They should hardly put a wall around the sales pitch to stop the ball going out,1
"I ' d like to thank middle aged men watching the Olympics for solving the mental health crisis. Getting someone to shout "" get some perspective "" at every athlete struggling with anxiety will definitely solve their problem.",1
"orange is a fruit, a flavour and a colour and an orange is all three combined, madness",0
love living in a capitalist society where i look forward to getting a surgery where i ’ m legit GETTING AN INTERNAL BODY PART REMOVED bc it means i ’ ll get a few days off from work xoxo,1
i am in severe pain while on vacation i feel robbed.,0
@VertigoTeaparty now you have a reason to play this https://t.co/9RnJRWFbGm,0
First day of school and spectrum internet has already shit itself. Flummox,1
I know I'm really settling into my 30s when I take a drug test and all they find in my system is antacid,0
"My god, he’s even a hopeless kisser 😭 #matthanock https://t.co/yyfq9UDfNg",0
Who ' s ready for monsoon storms allllll weekend? !?!,1
Today is another day where I haven't met Danny Devito and I am sad,0
Beer and the ufc are good,0
Does anyone want to explain to me why Bad Blood was never made into a full-length movie?,0
I ' m A VeGeTaRiAN BuT I eAt FiSh 🙃 🙃 🙃,1
"I have so many games, and no time to play them. :( #momproblems",0
@ChiminoRobin Awe. That's far and kind.  Blessings.,0
My living room feels really lively immediately. I ’ m recklessly sipping tea absorbing choons # TaeSup,1
"North Dakota: * has one decent week of weather * Mother Nature: NOW I SHALL CAST OUT THE SUN AND BRING THE COLDEST OF RAINS UPON THY SUPER, DUPER FLAT LAND.",1
i LOVE grocery shopping,0
crocheting is hard,0
any of my oomfies wanna write my user on their thighs,0
Pernille deserves better,0
Every day Spotify insists I listen to ‘coconut’ by Harry Nilsson but I don’t ever have the heart to skip it so the cycle continues and the algorithm becomes further entrenched,0
wish i could understand string theory without knowing maths. .. .. alas i guess i am overly hot for conceptual physics,1
this bruh rly told maine “ Ur anger issues are my playground 🥰 ” so uhh hmu if u wana be friends bc i need new ones k thx (:,1
my bf took my off his lock chamber screen which obvi means he ’ s cheating on me,1
@ ThomasCabaret84 @ MicrobiomDigest @ raoult_didier Surely you ’ re non suggesting that their own thorough investigation of their own suspected & lt; fraud & gt; (which found no evidence for said & lt; fraud & gt;) was carried out with anything but the very highest levels of integrity? Seems completely legit to me …,1
"Dora: Where do we go next?
Avery: I ALREADY TOLD YOU, THE TALL MOUNTAIN!! *groans in frustration at Dora's Alzheimer's*",0
being single during college must personify really fun when ur nOT indium A GLOBAL PANDEMIC,1
"Vaccine dose 1. Thank you, science.",0
I just absolutely LOVE how I ' ve got to work outside for the next 3 day in the heatwave. # sweatingmyballsoff,1
"Don ’ t worry, 20 something people who follow me here, Unity brushed my hair for the first meter in a week today. I know, impressive.",1
Is thither a zombie revelation going on upper street,1
How DARE my friends have jobs / boyfriends / lives they should consider my feelings and be liberal when I am,1
"cannot believe i was at an actual gig tonight and now i’m on my way to an actual nightclub, truly feel like me again i am thriving",0
"The best possible Saturday night is going out for dinner and drinks, having a couple too many, and being home for Match of the Day, happy weekend everyone",0
a closed mind is a wonderful thing to lose💭,0
"3 classes down, 2 more to go and then I'm halfway finished college 😳",0
Perk of doing a newborn hearing screening on an SLP’s baby: not having to discuss speech and language milestones,0
it’s Songkran right now in Thailand and I wish I was there😩😩,0
oh cool I drive to school in less than 12 hours and I’m frantically looking up fun facts about the final destination franchise for absolutely no reason it’s fine everything’s fiNE,0
"fuck off calling your book ""eleanor oliphant is completely fine"" twee curly license-free font horseshit. radio 4 book club dick ass. call your book ""Pussy Popping At The Homicide Casino"" or i am not reading it",0
Not even close to pretty but much needed 3 points 🔴⚪️⚫️,0
i got so much done at work today we are all proud of me today ok?? ok???,0
someone go see Aladdin with me serious inquires only,0
Everyone - Get Vaccinated,0
watching the sopranos is neat. the overarching theme of characters dealing with the dissonance of real life vs nostalgia/popular entertainment portrayals of the mob is engaging. also fun watching said badass mobsters dealing with the monotony of suburbia.,0
Falling asleep at your laptop is always fun,1
"That white one is definitely the best of the 3, love that.",0
"Thusly, a country that is trillions in debt, with numbers approaching 13 million on surgical waiting lists and hurtling towards facism regime, comprise talking about rescuing people from a facist regime?",1
THREE of my friends are doing their vivas this week and I am EXCITED FOR CELEBRATIONS 🍾,0
"Thank you all for your support yesterday &amp; to everyone who sponsored us, we raised over £1000. Brighton is a great place to do a marathon too, so much support on the course and I was swimming in the sea in my running kit within half an hour of finishing.",0
After far too long I’m finally going to the theatre and I CANT BLOODY WAIT,0
Just caught up with #HolbyCity think I've just about finished crying 😭 @Littlelucyd you were outstanding. You will certainly be missed,0
Listening to the rain when you're tucked up in bed is one of life's simplest pleasures ☔️,0
happy birthday pretty! hope it's great&lt;3 @jada_kaufman,0
Rubbing my tears into my face is character of my skincare routine lol,1
Well it has been a whole year but I finally forgot to mute my microphone in Zoom so my whole class got to listen to me sing and talk to text for 5 minutes until my professor caught me. Good times &lt;3,0
"@SILVERSCASPER @elizableu She was gentle, he wasn’t",0
"Wizkid is the world beater, hunky dory lol",1
also that jacket he wore yesterday i ’ m gonna rip my eyes out: /,1
"Wine, pizza &amp; UFC... is there any better way to spend a Saturday night? #UFC #fightnight",0
@kevinabstract ye,0
if there isn’t a season 2 for never have I ever on netflix im going to cry,0
"Sometimes I feel like all this effort is just like sticking baseball diamond encrusted alloys on a knackered Corsa. I mean, shit is what it is at the end of the day.",1
I ’ m still confused astir DaBaby ’ s point? Like would you have said “ everybody without cancer out your lighters up ”? ?? like what sir https: / / t. co / EqcbAEkIJM,1
"Got locked out of Twitter for saying it ’ s embarrassing to be an arsenal devotee. That ’ s not okay, but people can be abusive and racist and zip? !? Okay! 🤣 🙄",1
Day 3 of night shift: “ Can I dumbfound a triple shot puppuccinio? ”,1
love it when Jonny makes me use earpiece to watch over something on my phone so he can play fifa,1
Who ' s ready for monsoon storms allllll weekend? !?!,1
if jesus was resurrect again i would vote for him,1
"I know I'm not the only person who feels uneasy seeing people hug, shake hands, pat each other on the back, peck each other on the cheek and more (😳) on any telly programme these days.

Actually, not uneasy - horrified. 😷 #SocialDistancing",0
There’s something about a pretty sky that improves my mood x100,0
"Yay - snow day, I can work from home - oh wait. ...",1
I just love falling upwardly the stairs 😑,1
Great opportunity for a position at ZSL #sciencejobs #researchjobs #postdocjobs #graduatejobs #animalbehaviour https://t.co/hVud29qSh4,0
I’ve rediscovered Kylie Minogue and honestly she’s got me through the first week of 2021,0
"i came to a revelation today and was finally honest with myself about what i want to do with my life, super proud of me right now",0
Why am I sad for no reason ALL THE TIME,0
i love my life,0
"Are GoFundMe accounts a form of socialism? I put on ’ t have enough money to pay my bills, so let pine tree state create an account an ask for money to help pay my bills. ??",1
Honestly I just want someone to love me enough to bring me Grits and a Twix at 2:30am👀🙏,0
thanks to everyone for all the love and support!!! so blessed to have this opportunity!  officially a mustang!! #stanggang @Mside_Softball @AquinasNation https://t.co/8eqyrglBCf,0
I really want to hug David Tennant,0
Imagine going to university for quartet years when you could just follow Elon Musk on twitter for free,1
came home to realize my family found and read my quarantine journal lmao lucky I didn ’ t get involuntarily confide wtf,1
"The defunding of higher education is a purposeful action against leftism which educated people tend towards, particularly in colleges of education, writing, and humanities where they are known to cluster. “Then take up a trade” is artfully packaged book burning.",0
I'm a little late but the Hamilton soundtrack is actually life-changing,0
"these deuce girls are on the beach in lawn chairwoman, i love shoobies",1
"How is it that I’ve managed 3 months without milking a single cow, then the day before I leave I get roped into a 5am milking??",0
"#MAFSUK Bob, what a lad, showing absolute class when shit on like that, wasn’t a match so shouldn’t be too gutted but even so, 👏🏻",0
At this point I just feel bad for him 😂 https://t.co/nEt3JPAsAM,0
I'm big glad I'm not a Sonic fan because Sega gassed them mfers up for a lot of nothing.,0
"Another day, another elementary math equation that people are arguing the answer in the comments on my Facebook feed",0
"I've gotta start thinking seriously about abandoning Apple music, ipod etc. Letting music find me on the likes of Bandcamp. Nothing human in provider that plays albums out of order and denies files bought on other platforms playability on their device.",0
i suffer bags under my eyes because im tired of your bs: ),1
Spanish farmers block traffic with tractors to demand fair prices for producers https://t.co/2LzU6m7Yxx,0
By the way Rutgers furloughed their emergency services workers but not the athletic trainers or police. Make it make sense.,0
"Are the #Gogglebox cast told to sit in the same place week in week out, or is that just human nature?",0
what's the diagnosis for when ur dog sits down but headfirst,0
@Joelxclusive Have seen better acting on Casualty 🙈,0
'but that's different' is never a valid argument,0
Got my xqc hoodie and signed card a few days ago. Feelsgoodman. https://t.co/FT47oJE1Mr,0
really need upload season 2. today. now. thanks,0
yes i have little interest in doing things that use to me,1
"@SaraMartnezW @xXDevilSeijiXx There is also one apparent love-triangle-ish situation early on involving the main character - just a heads-up that that's *not* the one you're looking for! (I think it's not a spoiler to say that it gets resolved more traditionally, though also satisfyingly.)",0
' Margaret Thatcher ' is trending. .. has 2016 taken another matchless?,1
cold weather please hurry i want to wear sweaters again 🙏🏽,0
keep the mics on pitchers always,0
"Before going to Lush: I’m just gonna buy 2 bath bombs nothing crazy 😇

Me walking out: *holding 4 bath bombs, 2 lip scrubs, 3 shower gels*",0
if you drive dangerously on purpose you’re the scum of the earth,0
me non reverse up to work is a feminist movement actually,1
Things I learned on my first day of classes my sophomore year in college: ingesting semen does NOT lower depression in women,0
@HawleyMO Please DO YOUR JOB or resign.  Enough is enough.,0
Gods playing games today. Makin it 68 degrees but 1000% humidity. Smh,0
the only thing the boomers got right is how scrumptious elvis presley was,0
@ tedcruz @ Ambition worst timeline,1
@ GainzyXBT Actually I ' ve extrapolated based on the last day by day candle and it grow out BTC will be sub - zero by December. The math doesn ' t lie.,1
"might just not wear glasses when i leave the house more often,,, i’m just in a blur and it’s so much more relaxing than seeing everyone",0
i love kyungsoo’s pictures so much they’re all so pretty i wanna share some with him too now,0
"Well, what a way to ruin East wind. Thanks @ CadburyUK https: / / t. co / zkkguY2g6M",1
finding vegetarian chocolate mousse is such an annoyingly hard task to do,0
just rang 6 of my friends and none of them picked up https://t.co/EtbEo4LqQK,0
Sundays are officially for those 'first day at school' new job nerves https://t.co/WGjolXq5o5,0
Broke: doing assignments in order of due date Ignite: answer assignments in order of priority Wired: spending 20 minutes on each class at a time and just go down the list,1
What’s in the pollen this year bcos this hayfever is up in my GRILL,0
What kind of sins have y ’ all been committing for God to punish u with this kinda weather. ..,1
If you don ' t like Lemonade you ' re an extremist 🍋,1
If you wear a bandana as your mask I’m only going to do the logical thing and assume you’re a cowboy,0
When your too good to people they will take &amp; take until you have nothing left.,0
drinking 4 beers and getting on google maps to look at how street layouts and residential layouts are different in other countries,0
Anyone else getting goosebumps watching @TomDaley1994 ? Incredible 🥺❤️,0
Hahahah @ LibertyU is shutting down the entire campus for quarantine! ! Couldn ’ t happen to a nicer group of Covid denier! # CovidIsNotOver # karmaisabitch # Covid_19,1
I ' m hoping my social work class party is going to involve tequila and chip and salsa 💃 🍹 🎉 👨,1
Tensions a bit high in my house tonight because my roommates got in a swordfight in the living room and one hit the other in the face,0
Happy Valentine's day I hope everyone gets pregnant so we can have more Scorpios in the world,0
"Just finished Shang-Chi with @glitch031 

Best MCU movie.",0
don’t appreciate having my food delivered to the wrong address :((((,0
@MadelineMchugh_ @lucybrown_xx Wouldn’t change you mads💘,0
i need human stimulation in order to be productive… anyone who’s down to find a space to co-work from “home” together pls hmu!!,0
i’m such a bad plant mum omg how am i ever going to remember to water my human children,0
we well chosen! !! !! !! !!!,1
somebody say these skirt to be quiet because they not listening to me,1
💕 tip for baking bread! 🍞 🥐 🥖 you can use the yeast in your dog ' s ears to substitute active dry yeast or instant yeast in a pinch! 💕,1
